"ID","IV"
87,NA
532,4.54429731419148
278,6.60755134549164
361,NA
42,2.73325210650073
406,NA
561,3.72701492419121
236,2.93074131220312
160,NA
54,3.18063031305261
145,NA
105,5.26090043873541
542,5.33851751402175
14,5.30848896326317
251,6.06850822459875
544,6.28453931878733
262,6.89828823810599
357,5.66283961837125
458,NA
154,8.25439516824494
290,6.05184801419225
135,NA
320,0.548598557338084
201,6.30418615491372
500,4.10324876985173
547,5.17782697944052
440,1.00783399664899
246,7.17173631086149
515,3.49594280238017
223,5.23032192429622
531,NA
122,3.65294886333957
187,7.01829491759078
62,2.31965728621878
238,8.19646301355242
20,7.86038886117314
457,4.81383432184744
146,2.70158560499378
16,4.07457878574831
560,4.29600512293789
189,3.95712468182777
194,5.99991689852252
175,4.59660483482131
195,6.1940205257904
90,0.237280284749109
218,7.96958027442523
81,7.25004273258417
92,5.49359754968912
287,5.57922087721114
527,5.63759989023954
331,7.39007333847235
295,3.48863420767245
111,4.33514225109059
341,7.29267462985422
410,1.7874347095953
403,6.50562504505371
149,NA
99,1.24977400354753
293,6.19078999602982
365,6.13217916425621
188,3.16172769056347
164,7.56976500948976
227,4.84397447798245
419,3.01548974117576
174,5.73522039530914
5,4.93542097939393
67,6.10833247304137
369,6.62979368254629
190,3.91969607483086
487,6.01667083300357
359,5.65224972791032
350,6.77026246627068
282,6.37081210791752
442,2.1642505721369
336,4.97038105230542
445,5.00709281810959
455,6.79502046992079
261,7.58171184589708
330,2.55455663701964
434,NA
502,NA
225,3.92895802743852
539,4.91370803706647
113,5.62105765819686
193,0.960366945456815
383,3.47769809632447
479,6.20164773267112
242,5.79514510684312
528,4.81765708791885
381,NA
298,3.83787499273752
481,5.77780067555362
210,9.48979041404456
558,5.52457152184039
83,4.57210842589241
235,3.47862643084261
423,3.86843081989241
388,4.95212564412668
485,2.14329521435604
401,NA
477,7.44236165823818
375,6.17755390640766
510,5.74668460955124
197,5.91861650303604
157,1.75547873281464
314,3.03623468158664
346,2.86948691219452
128,3.72783941940699
306,2.99903264269072
533,3.20197179719835
482,NA
420,4.76008654209448
213,5.32791863266835
15,5.12613804144521
258,4.59641406476844
367,2.72387019693128
169,7.49043930861738
224,4.03398593601483
416,7.11605060946204
444,NA
321,NA
239,5.29190983867496
59,3.56813554586524
353,5.29435897424748
466,7.18863115899364
340,3.95138713731217
569,4.12290002789429
568,6.47643267306278
447,5.32734725819899
257,4.60268091649686
530,5.69318078607396
553,5.39876170422273
119,6.62003410556976
252,8.12009556195515
363,9.03222869219709
39,2.56619205902588
504,NA
517,5.0542110476453
118,NA
211,NA
567,7.17867895420802
49,3.11950606144501
404,4.14993972450931
104,2.47870247287391
202,2.85414569581464
452,NA
351,3.88608803057083
554,7.15815075489025
271,1.98778876927993
204,5.2786018933373
51,5.56016547535175
267,5.33344032925139
366,NA
352,3.94334437520988
80,2.26448050239494
462,5.78169589689517
512,3.19433137045106
396,7.33230719651976
45,4.48632365877425
384,5.20325978302367
222,6.40940226781713
94,6.21186147435323
43,5.25753197657609
58,9.69942539149834
231,6.25715002142182
497,4.39729415453682
85,4.5897976263832
387,5.54256874940681
329,NA
40,4.33564042299903
163,NA
91,2.12653275208968
536,7.31812268859585
509,5.58883464691749
493,7.04714870607138
552,6.88367410860091
412,NA
555,6.41258104432296
417,6.2095782873468
526,5.46308330707967
89,7.03745351791286
250,NA
326,6.21609006728363
322,5.52511775698416
425,2.74224305990604
382,NA
407,4.39247970388914
422,5.01748556450615
472,5.5735312724609
112,4.27834414154264
545,5.66247655686
302,2.33732167684272
168,4.25700961265946
266,1.46410598979311
317,0.978756957824562
342,NA
372,4.64706991572306
468,4.7321042633217
449,NA
244,NA
394,6.14910103110758
337,4.57374712824704
484,8.0581976765761
200,2.6575189241673
379,7.42345905430881
147,3.28363348299477
161,3.62286626188081
184,3.84381889870583
203,6.13833429438306
151,5.61256303282317
125,2.63010787819327
206,0.996148856872697
433,2.13858992457808
562,3.53892880082594
311,4.13185416044199
335,NA
26,NA
524,4.87151215140676
354,5.38135022248845
503,4.24466398357719
393,1.84025926700248
325,4.89889168954934
519,NA
501,7.56927549487295
460,2.57383964902692
286,5.8700444221296
513,4.31648742362913
459,1.02437030831628
551,3.95173469858756
296,4.81558147525152
133,5.13403945788782
144,7.66191233709648
98,1.6532283087519
300,3.28056884426401
247,3.88925214499923
150,5.85866489436185
489,NA
70,4.35782349623956
389,4.91159998598368
102,5.65974206919357
240,NA
226,7.09342450708462
228,5.06381448111769
162,3.57856996760234
82,5.12440868731711
36,4.5008292031235
358,5.33683924182119
426,5.56920774683491
138,6.64492552342318
499,5.28043009543411
467,3.43340218022234
38,4.55702795395534
249,0.0624771425487651
316,4.22636626003743
76,5.96201024174018
124,5.83827188572988
152,NA
25,NA
96,7.80734549783029
355,3.64151026113848
156,6.47615972076408
405,2.85058587587353
57,3.88718782844931
215,7.65509686445384
37,6.07819443078737
543,2.02762440218354
198,5.42761080732898
566,3.4063371415208
301,3.81768255178002
360,7.18260138688934
64,6.38117764239332
141,4.535982899742
56,5.32442542091239
492,2.57215615675486
575,NA
129,6.60461281608244
518,4.78059903449086
312,2.94496162478878
2,3.17478515550665
564,3.80197297544848
386,1.19066145791116
167,8.37187327272065
362,3.21131269930354
216,NA
72,8.66806897913404
546,4.73431173913728
48,4.20507131559649
399,3.37593248049098
309,NA
418,2.59616318807465
377,5.08321926251507
505,NA
219,10.0271828335368
304,2.10761459588839
507,7.74716509909707
13,6.19821789245179
205,9.00284607929948
18,8.3338973856465
343,5.4429156209164
541,3.77321325775455
540,6.29336716658553
390,5.07808295414983
511,0.225842914858495
114,2.49656639888736
310,4.32286116379513
9,4.70422229483051
155,5.00546926853464
491,1.65709790630399
307,6.89853927689017
97,6.4918476481582
299,3.88910701974517
454,4.67221028764749
41,4.9051411725012
424,9.35865416772413
281,6.73724005948734
297,5.65433697172212
35,6.06609836425054
3,6.46026417337783
86,4.52978142518396
521,5.896215682393
22,5.82345150327888
69,3.58408173700138
313,3.15138352693959
127,7.16762578653199
291,2.60891713571719
508,2.04306672440829
520,5.68534308841289
371,5.27395362822553
233,4.74823839050095
397,NA
495,4.2354729388696
30,4.81634231002822
285,4.9416449355925
374,4.00772035433675
109,3.01935479015526
101,5.86324412183933
490,8.23258564290271
192,6.63450813486813
148,2.16333276714732
245,5.87950089543991
525,3.47739868341391
171,4.48024762741063
570,4.0114153610658
549,9.359633680939
453,3.56035402818426
308,4.91414926270557
